country,site_code,survey,indicator_condensed,number_questions,questions
Indonesia,WAKA_NP,Community Support,Communication,4,"1: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (13) In the last 6 months, Mr / Ms spoke with other fishermen about: (B) compliance with applicable agreements within the territory of the fishery access area; Response: [] Yes [] No [] Do not remember; 2: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (A) benefits gained from the management of the fishery area access; Response: [] Yes [] No [] Do not remember; 3: [Question: For the statement below, please state your answer, with ""Yes"", ""No"", or 'Can not remember' (11) In the last 6 months, I talked with fellow fishermen about: (C) ways of monitoring and reporting violations of rules in the area of access of the fishing area; Response: [] Yes [] No [] Do not remember; 4: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement.(12) For me,(F) invites fellow fishermen to comply with the management rules of fisheries area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult"
Indonesia,WAKA_NP,Community Support,Knowledge,4,"1: [Question: (19) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about the size of the catch in the area of ​​access area and do not think to find out [] I do not know the catch size rules in the area of ​​access area but in the near future it is thought to find out [] I already know the size of the catch allowed in the region Access area and in the near future think to do it [] I have caught fish with the size of fish catch according to the rules in the area of ​​access area, and have been doing it for less than 6 months [] I have captured the size of the fish according to the rules of area access area and have done it in 6 Months or more; 2: [Question: (18) For the following statement, please choose the one that best describes you right now; Response: [] I do not know the rules about fishing gear allowed in the area of ​​access area and do not think to find out [] I do not know the rules of fishing gear are allowed in the area of ​​access area but in the near future thought to find out [] I already know fishing gear Which is allowed in the area of ​​access area and in the near future it is thought to do it [] I have been using the type of fishing gear according to the rules in the area of ​​access area, for less than 6 months [] I have used the type of fishing gear that match the rules of area access area, 6 months or more; 3: [Question: (A) Based on the location of the above mentioned fishing / fowl, please Mr / Mrs choose the statement that best describes you right now; Response: [] I do not know the designation rules for this area and do not think to find out [] I do not know the designation rules for this area but have been thinking about finding out [] I am not implementing the designation rules for this area but in the near future I think to do it [] I have followed the designation rules for this area, but only implemented it for less than 6 months [] I have followed the rules of the designation of this area and have done so in 6 months or more; 4: [Question: (20) For the following statement, please choose the one that best describes you right now; Response: [] I have never been involved in surveillance of the territory of the fisheries access area and have not thought of doing it [] I have never been involved in surveillance of area access areas and thought to find out [] I was thinking of being involved in the monitoring of area access areas, in the near future [] I Has been involved in the supervision of area access areas, less than 6 months [] I have been involved in the supervision of the area of ​​access to the fishing area, within 6 months or more"
Indonesia,WAKA_NP,Sustainable Fishing Practices,Management Participation,2,"1: [Question: Here, please tell me whether 'easy,' rather easy ',' hesitant ',' rather difficult ', difficult' to do things yourself in this statement.(12) For me,(C) engage in processes and discussions for the management rules of the fishery area access; Response: [] Easy [] Somewhat easy [] Hesitant [] Somewhat difficult [] Difficult; 2: [Question: Is the head of household or his wife/her husband member in an association? Where/ Which one?; Response: head of household? Fishing / agricultural association?"
Indonesia,WAKA_NP,Sustainable Fishing Practices,TURF Compliance,6,"1: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (B) catch fish according to the rules in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do; 2: [Question: Here's what you want to do, 'Somewhat sure to be able to do', 'Doubtful', 'Somewhat unsure of being able to do', 'Unsure able to do' the following statements.(15) ÿÿ9 I feel, ÿÿ1 (C) using the type of fishing gear permitted in the area of ​​fishery access area; Response: [] Sure able to do [] Somewhat sure able to do [] Hesitant [] Somewhat unsure able to do [] Not sure able to do; 3: [Question: How often do you think your local fishermen comply with the local fishing rules?; Response: Always	Most of the times	Half of the times	Sometimes	Never
; 4: [Question: How often do you think your local fishermen comply with the rules of the TURF?; Response: Always	Most of the times	Half of the times	Sometimes	Never
; 5: [Question: How often do you comply with the local fishing rules?; Response: Always	Most of the times	Half of the times	Sometimes	Never
; 6: [Question: How often do you comply with the rules of the TURF?; Response: Always	Most of the times	Half of the times	Sometimes	Never
"
Indonesia,WAKA_NP,Sustainable Livelihoods,Catch Trend 1 Year,2,"1: [Question: (E) In 1 month, how did your catch compare to the same month last year?; Response: [] Same [] More [] More and more bigger [] Less [] Uncertain [] Do not remember / do not know; 2: [Question: The fish catch has …..compared to 1 year ago; Response: Improved heavily, improved slightly, stayed the same, deteriorated slightly, deteriorated a lot"
Indonesia,WAKA_NP,Sustainable Livelihoods,Food Security,3,"1: [Question: In the past 12 months did you ever reduce the size of your children meals or let your children skip meals because there wasn’t enough food to eat?; Response: [ ] Yes [ ] No [ ] No Answer; 2: [Question: Was the last year a good, normal or bad year for you in terms of food available; Response: Good, normal, bad; 3: [Question: In the past 12 months did you ever reduce the size of your meals or skip meals because there wasn’t enough food to eat?; Response: [ ] Yes [ ] No [ ] No Answer"
Philippines,AYUNGON,Community Support,Attitude,14,"1: [Question: Fish species will continue to decline in number or disappear; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree; 2: [Question: Fishing should not be allowed inside Iniban Marine Sanctuary converted; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer; 3: [Question: If marine sanctuaries are well-managed, it will help buffer some of the effects of climate change; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer; 4: [Question: It is important that all fishers protect the marine sanctuary as it is a breeding place for fish; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer; 5: [Question: Reporting anyone intruding into the Iniban Marine Sanctuary is an important responsibility of everyone; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer; 6: [Question: Reporting violations is easy to do; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer; 7: [Question: Reporting violations is easy to do; Response: True,False, Refuse to answer; 8: [Question: Reporting violations is a safe thing to do; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer; 9: [Question: Reporting violations is a safe thing to do; Response: True False Refuse to answer; 10: [Question: The marine sanctuary will increase fish abundance; Response: [ ] Yes	[ ] No	[ ] No Answer; 11: [Question: The marine sanctuary will increase fishers' fish catch; Response: [ ] Yes	[ ] No	[ ] No Answer; 12: [Question: The marine sanctuary will provide bigger fish; Response: [ ] Yes	[ ] No	[ ] No Answer; 13: [Question: The marine sanctuary will provide the fish a place where they could breed.; Response: [ ] Yes	[ ] No	[ ] No Answer; 14: [Question: There will be consequences for fishers who do not follow the rules and regulations of Iniban Marine Sanctuary; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer"
Philippines,AYUNGON,Community Support,Knowledge,14,"1: [Question: Please state whether you agree or disagree with the idea that only fishers within your barangay can be granted exclusive fishing priviliges to fish in your barangay?; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 2: [Question: (50) The fishers have the ability to locate the bounderies of the existing MPA?; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 3: [Question: Do you know about the fishing policies of the a MA+R?  Converted; Response: yes, no, refused to answer; 4: [Question: Do you know the allowed fishing gears within the a MA+R? Converted; Response: yes, no, refused to answer; 5: [Question: Do you know the boundaries of the MA+R? converted; Response: yes, no, refused to answer; 6: [Question: Do you know the eligibility requirements to be able to fish within the MA+R?; Response: yes, no, refused to answer; 7: [Question: Fishers are allowed to fish outside the marine sanctuary; Response: yes, no, refused to answer; 8: [Question: Large boats are allowed to pass over the IMS; Response: yes, no, refused to answer; 9: [Question: No-one can fish or collect shells inside a marine sanctuary; Response: yes, no, refused to answer; 10: [Question: No one should glean inside Iniban Marine Sanctuary; Response: yes, no, refused to answer; 11: [Question: Only Bantay Dagat members are allowed to report violations; Response: yes, no, refused to answer; 12: [Question: Only PO members have the right to report violations; Response: yes, no, refused to answer; 13: [Question: Small boats are allowed to pass over the IMS; Response: yes, no, refused to answer; 14: [Question: Spear fishing is allowed inside Iniban Marine Sanctuary; Response: yes, no, refused to answer"
Philippines,AYUNGON,Sustainable Fishing Practices,Management Participation,2,"1: [Question: Have you participated in meetings or activities related to MAA+S?; Response: [ ] Yes	[ ] No	[ ] No Answer; 2: [Question: Which of the following options best describes you? Over the past 12 months:; Response: I have already participated in various meeting, workshop about the Ayungon MAA+S; I intend to participate in in various meeting, workshop about the proposed Ayungon MAA+S; I am considering in participating in various meeting, workshop about the proposed Ayungon MAA+S; I have never considered in participating in various meeting, workshop about the proposed Ayungon MAA+S
I have never considered in participating in various meeting, workshop about the proposed Ayungon MAA+S
I have never considered in participating in various meeting, workshop about the proposed Ayungon MAA+S
I have never considered in participating in various meeting, workshop about the proposed Ayungon MAA+S
I have never considered in participating in various meeting, workshop about the proposed Ayungon MAA+S
I have never considered in participating in various meeting, workshop about the proposed Ayungon MAA+S"
Philippines,AYUNGON,Sustainable Fishing Practices,TURF Compliance,4,"1: [Question: 23E. Which of the following options best describes you? Over the past 12 months:; Response: I am considering in IN COMPLYING TO THE FISHING POLICIES OF AYUNGON SFMA; I have ALREADY COMPLIED TO THE FISHING POLICIES OF AYUNGON SFMA; I intend IN COMPLYING TO THE FISHING POLICIES OF AYUNGONSFMA; I have never considered IN COMPLYING TO THE FISHING POLICIES OF AYUNGON SFMA; 2: [Question: 23F. Which of the following options best describes you? Over the past 12 months:; Response: I have never considered IN RESPECTING THE BOUNDARIES OF AYUNGON  SFMA; I am considering IN RESPECTING THE BOUNDARIES OF AYUNGON SFMA; I intend IN RESPECTING THE BOUNDARIES OF AYUNGON SFMA; I have ALREADY RESPECTED THE BOUNDARIES OF AYOKE ISLAND SFMA;; 3: [Question: 23G. Which of the following options best describes you? Over the past 12 months:; Response: I have never considered IN FOLLOWING THE ALLOWED FISHING GEARS WITHIN THE AYUNGON SFMA; I have ALREADY FOLLOWED THE ALLOWED FISHING GEARS WITHIN THE AYUNGON SFMA
I intend IN FOLLOWING THE ALLOWED FISHING GEARS WITHIN THE AYUNGON SFMA; I am considering IN FOLLOWING THE ALLOWED FISHING GEARS WITHIN THE AYUNGON SFMA; 4: [Question: In this community, there is much violation in fishing ordinances; Response: Strongly Agree	Agree	Neither Agree nor Disagree	Disagree	Strongly Disagree"
Philippines,AYUNGON,Sustainable Livelihoods,Collective Efficacy,2,"1: [Question: The fishers in my community have the ability to sustainably manage our fishery so that we can benefit from it long into the future.; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: [My community] has the ability to sustainably manage [our fishery] so that we can benefit from it long into the future.; Response: Strongly Agree	Agree	Neither Agree nor Disagree	Disagree	Strongly Disagree"
Philippines,AYUNGON,Sustainable Livelihoods,Food Security,3,"1: [Question: (31). Since the implementation of coastal and fisheries program in the municipality, please describe the state in terms of food availability in your household?; Response: [ ] We always had enough food to feed everyone in the household	[ ] We sometimes did not have enough food to feed everyone in the household	[ ] We often did not have enough food to feed everyone in the household	[ ] Refuse to answer; 2: [Question: Was there an instance that you did not have enough food/had problems meeting your food requirements during the last 12 months?); Response: [ ] Yes	[ ] No	[ ] No Answer; 3: [Question: Now I would like to ask a couple of questions about the food eaten in your household. Which of these
statements best describes the food eaten in your household in the last 12 months?); Response: [1] We always have enough food to feed everyone in the household.
[2] We sometimes do not have enough food to feed everyone in the household.
[3] We often do not have enough food to feed everyone in the household.
[4] We never have enough food to feed everyone in the household"
Philippines,AYUNGON,Sustainable Livelihoods,Livelihood Stability,3,"1: [Question: It is not difficult for myself and members of my family to maintain fishing practices is needed to provide for the home.; Response: [ ] Yes	[ ] No	[ ] No Answer; 2: [Question: Compared to 5 years ago, the quality and stability of employment for my household has:; Response: (1) Worsened substantially 
[2] Worsened somewhat                                        
[3] Stayed the same
[4] Improved somewhat
[5] Improved substantially
[6] Don’t know; 3: [Question: It is easy for myself and members of my household to find as much employment as is needed to provide for the household.; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer"
Philippines,AYUNGON,Sustainable Livelihoods,Political Trust,2,"1: [Question: The committees or body that manage the MPA or our coastal resource management will make right decisions about managing our fishery and fishing grounds; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 2: [Question: Generally speaking, the [local government] can be trusted to make decisions in the best interest ofour community.; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer"
Philippines,AYUNGON,Sustainable Livelihoods,Social Equity,2,1: [Question: My family is able to benefit from our fishery as much as any other members of the community.; Response: [ ] Yes	[ ] No	[ ] No Answer; 2: [Question: My household is able to benefit from [our community’s fishery] as much as any other member of the community.; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer
Philippines,AYUNGON,Sustainable Livelihoods,Social Trust,5,"1: [Question: Generally speaking, most fishers in my community can be trusted.; Response: [ ] Yes	[ ] No	[ ] No Answer; 2: [Question: Violations could be reported by anyone to the proper authorities; Response: [ ] Yes	[ ] No	[ ] No Answer; 3: [Question: Most fishers in my community will follow the rules and regulations set forth for our fisheries.; Response: 1-10 scale of agreement with statement, 10 best; 4: [Question: Most people in [my community] will actively enforce the rules and regulations of [our fishery],including reporting violations when witnessed.); Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 5: [Question: Generally speaking, most people in [my community] can be trusted.; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer"
Philippines,AYUNGON,Sustainable Livelihoods,Subjective Well-being,2,"1: [Question: All things considered, how satisfied are you with your life these days?; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: Please answer the following question on a scale of 1 to 10, where 1=completely dissatisfied, and 10=completely satisfied.“All things considered, how satisfied are you with your life these days?”); Response: 1-10 scale of agreement with statement, 10 best"
Philippines,BINDOY_,Community Support,Attitude,16,"1: [Question: Fish species will continue to decline in number or disappear; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree; 2: [Question: Fishers should report fishers fishing using gear other than H & L in Sayap Reef; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 3: [Question: If marine sanctuaries are well-managed, it will help buffer some of the effects of climate change; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer; 4: [Question: It is important that fishers report intrusions to the Bantay Dagat; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 5: [Question: Protecting the marine sanctuaries is beneficial for improving live hard coral cover that serve as; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 6: [Question: Reporting anyone intruding into the marine sanctuaries in my barangay or in Bindoy is an important responsibility of every fisher.; Response: yes, no, refused to answer; 7: [Question: Reporting violations is easy to do; Response: [ ] True	[ ] False	[ ] Unsure; 8: [Question: Reporting violations is easy to do; Response: True,False, Refuse to answer; 9: [Question: Reporting violations is a safe thing to do; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer; 10: [Question: Reporting violations is a safe thing to do; Response: True False Refuse to answer; 11: [Question: The Bindoy Marine Sanctuaries can improve if local fishers have priority to fish outside the no-take zone; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 12: [Question: The Bindoy Marine sanctuaries can improve if local fishers including fishing gears and boats are r; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 13: [Question: The Bindoy marine sanctuaries can improve if only registered local fishers are allowed to fish inside the no-take zone; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 14: [Question: The marine sanctuary will increase fish abundance; Response: [ ] Yes	[ ] No	[ ] No Answer; 15: [Question: The marine sanctuary will provide the fish a place where they could breed.; Response: [ ] Yes	[ ] No	[ ] No Answer; 16: [Question: There will be consequences for fishers who do not follow the rules and regulations of Bindoy Marine Sanctuary; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer"
Philippines,BINDOY_,Community Support,Knowledge,10,"1: [Question: Please state whether you agree or disagree with the idea that only fishers within your barangay can be granted exclusive fishing priviliges to fish in your barangay?; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 2: [Question: Please tell me if you Strongly Agree, Agree, Disagree or Strongly Disagree with this statement: Hook and Line fishing gear is the only safe gear to use inside the sayap reef in Mantalip Reserve; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 3: [Question: After 5 years of no fishing being allowed, the marine sanctuary can be harvested agai; Response: [ ] True	[ ] False	[ ] Unsure; 4: [Question: (C). Do you know/heard about the existence of MPA management committee?; Response: yes, no, refused to answer; 5: [Question: Fishers are allowed to fish outside the marine sanctuary; Response: yes, no, refused to answer; 6: [Question: Fishers not from Bindoy are allowed to fish near Bindoy Marine Sanctuary; Response: yes, no, refused to answer; 7: [Question: I want to ask you about Sayap Reef, a portion in the southern portion of the Mantalip Marine Reserve. True or False, Fishers are allowed to fish in Sayap Reef; Response: [ ] True	[ ] False	[ ] Unsure; 8: [Question: No-one can fish or collect shells inside a marine sanctuary; Response: yes, no, refused to answer; 9: [Question: The Mantalip Marine Reserve has 24/7 guarding; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 10: [Question: The marine sanctuary in my barangay (or nearest barangay in case of fishers from Poblacion) has 24; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer"
Philippines,BINDOY_,Sustainable Fishing Practices,Management Participation,2,1: [Question: Local Fishers always participate in all activities related to sanctuary management; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 2: [Question: Are you a member of a Fisherman's Association in your barangay?; Response: [ ] Yes	[ ] No	[ ] No Answer
Philippines,BINDOY_,Sustainable Fishing Practices,TURF Compliance,2,"1: [Question: 23F. Which of the following options best describes you? Over the past 12 months:; Response: I have never considered IN RESPECTING THE BOUNDARIES OF AYUNGON  SFMA; I am considering IN RESPECTING THE BOUNDARIES OF AYUNGON SFMA; I intend IN RESPECTING THE BOUNDARIES OF AYUNGON SFMA; I have ALREADY RESPECTED THE BOUNDARIES OF AYOKE ISLAND SFMA;; 2: [Question: In this community, there is much violation in fishing ordinances; Response: Strongly Agree	Agree	Neither Agree nor Disagree	Disagree	Strongly Disagree"
Philippines,BINDOY_,Sustainable Livelihoods,Collective Efficacy,2,"1: [Question: The fishers in my community have the ability to sustainably manage our fishery so that we can benefit from it long into the future.; Response: 1-10 scale of agreement with statement, 10 best; 2: [Question: [My community] has the ability to sustainably manage [our fishery] so that we can benefit from it long into the future.; Response: Strongly Agree	Agree	Neither Agree nor Disagree	Disagree	Strongly Disagree"
Philippines,BINDOY_,Sustainable Livelihoods,Food Security,2,"1: [Question: Was there an instance that you did not have enough food/had problems meeting your food requirements during the last 12 months?); Response: [ ] Yes	[ ] No	[ ] No Answer; 2: [Question: Now I would like to ask a couple of questions about the food eaten in your household. Which of these
statements best describes the food eaten in your household in the last 12 months?); Response: [1] We always have enough food to feed everyone in the household.
[2] We sometimes do not have enough food to feed everyone in the household.
[3] We often do not have enough food to feed everyone in the household.
[4] We never have enough food to feed everyone in the household"
Philippines,BINDOY_,Sustainable Livelihoods,Livelihood Stability,2,"1: [Question: Compared to 5 years ago, the quality and stability of employment for my household has:; Response: (1) Worsened substantially 
[2] Worsened somewhat                                        
[3] Stayed the same
[4] Improved somewhat
[5] Improved substantially
[6] Don’t know; 2: [Question: It is easy for myself and members of my household to find as much employment as is needed to provide for the household.; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer"
Philippines,BINDOY_,Sustainable Livelihoods,Political Trust,2,"1: [Question: The committees or body that manage the MPA or our coastal resource management will make right decisions about managing our fishery and fishing grounds; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 2: [Question: Generally speaking, the [local government] can be trusted to make decisions in the best interest ofour community.; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer"
Philippines,BINDOY_,Sustainable Livelihoods,Social Equity,2,1: [Question: My family is able to benefit from our fishery as much as any other members of the community.; Response: [ ] Yes	[ ] No	[ ] No Answer; 2: [Question: My household is able to benefit from [our community’s fishery] as much as any other member of the community.; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer
Philippines,BINDOY_,Sustainable Livelihoods,Social Trust,4,"1: [Question: Most fishers in my community can be trusted.; Response: Strongly Agree  Agree Neither Agree nor Disagree	Disagree	Strongly Disagree; 2: [Question: Most fishers in my community will follow the rules and regulations set forth for our fisheries.; Response: 1-10 scale of agreement with statement, 10 best; 3: [Question: Most people in [my community] will actively enforce the rules and regulations of [our fishery],including reporting violations when witnessed.); Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 4: [Question: Generally speaking, most people in [my community] can be trusted.; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer"
Philippines,CULASI_,Community Support,Attitude,6,"1: [Question: (13). I am going to ask you about the marine sanctuary that is going to be or has been created in your local area. A marine sanctuary or no-take fishing area is a clearly identified area where fishing is not allowed at any time by anyone.

(13A). Are there any benefits to the local community from having a marine sanctuary nearby? (IF respondents answers YES then please also NEXT QUESTION); Response: [ ] Yes	[ ] No	[ ] No Answer; 2: [Question: (B) Protecting the marine sanctuary is beneficial for increasing fish abundance in the municipality; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 3: [Question: (14). Please state below whether you beleive each regulation is either TRUE, FALSE or UNSURE about marine sanctuary rules and regulations and fisheries management in your municipality. (D) Are there benefits of a registered fisher?; Response: [ ] True	[ ] False	[ ] Unsure; 4: [Question: Fish species will continue to decline in number or disappear; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree; 5: [Question: (14). Please state below whether you beleive each regulation is either TRUE, FALSE or UNSURE about marine sanctuary rules and regulations and fisheries management in your municipality. (G) Are there benefits of reporting your catch?; Response: [ ] True	[ ] False	[ ] Unsure; 6: [Question: If marine sanctuaries are well-managed, it will help buffer some of the effects of climate change; Response: Strongly agree, agree, neither agree nor disagree, disagree, strongly disagree, refused to answer"
Philippines,CULASI_,Community Support,Communication,2,"1: [Question: (16). In the past 6 months, have you talked to anyone about the benefits to the community of a well-enforced sanctuary?   If YES, please tell me if you talked to the following people. If NO, check ""have not talked to anyone.""; Response: [ ] Have not talked to anyone	[ ] Talked to a family member	[ ] Talked to neighbors and fellow fishers	[ ] Talked to local barangay and municipal leaders	[ ] Refused to answer	[ ] Other ________________; 2: [Question: (17) In the past 6 months, have you talked to anyone about the importance of not fishing inside the marine sanctuary?; Response: [ ] Yes	[ ] No	[ ] Unsure"
Philippines,CULASI_,Community Support,Knowledge,5,"1: [Question: After 5 years of no fishing being allowed, the marine sanctuary can be harvested agai; Response: [ ] True	[ ] False	[ ] Unsure; 2: [Question: (15) Please state below whether you STONGLY AGREE, AGREE, DISAGREE and STRONGLY DISAGREE with the following statements on the impacts of having a marine sanctuary on the community. (C) Hook and line fishing is the only allowed gear to use outside/bufferzone in marine sanctuaries; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer; 3: [Question: Fishers are allowed to fish outside the marine sanctuary; Response: yes, no, refused to answer; 4: [Question: (14). Please state below whether you beleive each regulation is either TRUE, FALSE or UNSURE about marine sanctuary rules and regulations and fisheries management in your municipality. (H) Have you heard the; Response: [ ] True	[ ] False	[ ] Unsure; 5: [Question: No-one can fish or collect shells inside a marine sanctuary; Response: yes, no, refused to answer"
Philippines,CULASI_,Sustainable Fishing Practices,Catch Reporting,2,"1: [Question: (24). Over the past 6 months, which of the following options best describe you about measuring your catch and reporrting it?; Response: [ ] I have never considered measuring my catch and reporting it	[ ] I am considering measuring my catch and reporting it	[ ] I intend to measure my catch and reporting it	[ ] I have currently oarticipated in catch reporting and reporting; 2: [Question: (27). In the past 6 months, please tell me if you have done the following actions: Reporting my catch; Response: [ ] Yes	[ ] No	[ ] No Answer"
Philippines,CULASI_,Sustainable Fishing Practices,Management Participation,3,"1: [Question: (25). Over the past 6 months, which of the following best describes you about attending discussing and meetings on fisheries management?; Response: [ ] I do not know about the discussions and meeting on fisheries management	[ ] I am considering n participating discussions and meetings on fisheries management	[ ] I intend to participate in discussion and meetings on fisheries management	[ ] I have already participating in discussions and meetings on fisheries management; 2: [Question: (27). In the past 6 months, please tell me if you have done the following actions: D. Attending meetings and consultations about fisheries; Response: [ ] Yes	[ ] No	[ ] No Answer; 3: [Question: (11). Are you a member of any fisher association?; Response: [ ] Yes	[ ] No	[ ] Do not know/Unsure	[ ] Refused to answer"
Philippines,CULASI_,Sustainable Fishing Practices,TURF Compliance,2,"1: [Question: (27). In the past 6 months, please tell me if you have done the following actions: E. Use of allowed fishing gear in designated area outside the marine sanctuaries; Response: [ ] Yes	[ ] No	[ ] No Answer; 2: [Question: In this community, there is much violation in fishing ordinances; Response: Strongly Agree	Agree	Neither Agree nor Disagree	Disagree	Strongly Disagree"
Philippines,CULASI_,Sustainable Livelihoods,Food Security,3,"1: [Question: Since the implementation of coastal and fisheries program in the municipality, please describe the state in term of food availability in your households?; Response: We sometimes did not have enough food to feed everyone in the household; We always had enough food to feed everyone in the household; We often did not have enough food to feed everyone in the household; Refused to answer; 2: [Question: Was there an instance that you did not have enough food/had problems meeting your food requirements during the last 12 months?); Response: [ ] Yes	[ ] No	[ ] No Answer; 3: [Question: Now I would like to ask a couple of questions about the food eaten in your household. Which of these
statements best describes the food eaten in your household in the last 12 months?); Response: [1] We always have enough food to feed everyone in the household.
[2] We sometimes do not have enough food to feed everyone in the household.
[3] We often do not have enough food to feed everyone in the household.
[4] We never have enough food to feed everyone in the household"
Philippines,CULASI_,Sustainable Livelihoods,Livelihood Stability,3,"1: [Question: It is not difficult for myself and members of my family to maintain fishing practices is needed to provide for the home.; Response: [ ] Yes	[ ] No	[ ] No Answer; 2: [Question: Compared to 5 years ago, the quality and stability of employment for my household has:; Response: (1) Worsened substantially 
[2] Worsened somewhat                                        
[3] Stayed the same
[4] Improved somewhat
[5] Improved substantially
[6] Don’t know; 3: [Question: It is easy for myself and members of my household to find as much employment as is needed to provide for the household.; Response: [ ] Strongly Agree	[ ] Agree	[ ] Disagree	[ ] Strongly Disagree	[ ] Refused to Answer"
